Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand,os
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,785.1655152,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,526.8507552,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.86,336.996,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,macOS,1.83,1487.1486959999995,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,1057.053888,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,Windows 10,2.1,234.432,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,1254.1936176,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,876.1895999999998,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,451.2816,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,No OS,1.86,230.856912,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Others/No OS/Linux
